,Type,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,exp_stage,cell
0,3,0.696438672517816,0.519818764783436,0.7107732445662183,0.4603662462862558,0.570067088574776,0.38486417408968565,0.6320485431147885,0.5445097641328418,0.41388869577053866,0.5014939743845857,0.5369360894866928,0.7836596888597775,0.63432200425134,0.3317541876623177,0.48027193966204007,0.5747933976611477,0.5321970660215627,0.3147964637683749,0.8995326649176957,0.4865001840769103,0.5894421888613603,MCF10A_none,cancer_20210119_slip1_area2_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_196
1,1,0.39521553880213045,0.341352888356416,0.5884825563010543,0.4913498291029935,0.4906301581033645,0.3483898688788507,0.7187524352232559,0.5956523039453688,0.4583734811973701,0.3960904770306787,0.5158533550186748,0.8036320668741536,0.9831229118085133,0.4475647190890385,0.4186158780000081,0.6364844559203602,0.6728619212343199,0.3147964637683749,0.30971541855300566,0.5675607248334709,0.6665571578435893,MCF10A_none,cancer_20210119_slip1_area3_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_163
2,1,0.8073235196738127,0.6871096313740612,0.5848005940557474,0.7269179037717144,0.4782922897684996,0.42105330691600484,0.6728321963652506,0.42930325726264884,0.516366700599042,0.5707228316732103,0.5282933104171847,0.7989736751456165,0.6487427832527,0.7877932503307397,0.4970677732100336,0.5496995418701426,0.558854125156897,0.3147964637683749,0.7583418958191748,0.6164875069762437,0.6016264435804409,MCF10A_none,cancer_20210119_slip1_area5_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_124
3,3,0.5967630913490353,0.34390193205102193,0.705531073461263,0.8008582319735056,0.6882964278060305,0.38882312187763535,0.4513540383130009,0.5956523039453688,0.5510288057920752,0.8624602916994404,0.6311218455500325,0.7953030715207424,0.6486447820367546,0.4255107704265595,0.5171927949862171,0.6364844559203602,0.31570275005630843,0.5012811020556647,0.7138286137396819,0.470998754879973,0.38898544976440297,MCF10A_none,cancer_20210119_slip2_area1_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_133
4,3,0.565220687008209,0.6350473806298675,0.733536927985392,0.6925493083815468,0.574851742397908,0.4340444371914052,0.5158107644518172,0.5566673099510397,0.48843421245223995,0.8724661530909168,0.5939184842431281,0.7762347534276555,0.6296067359297564,0.06726508020870892,0.3295766109420948,0.5972823821702341,0.4268416617949645,0.399073424298901,0.6286503544551977,0.4125785948427627,0.44255328485725376,MCF10A_none,cancer_20210119_slip2_area1_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_145
5,3,0.7477305576184334,0.6148121295832788,0.7133681945369379,0.8017651854497154,0.5916309250377207,0.45840909003169794,0.6035783022071615,0.5890133846398791,0.70136579057318,0.6306441219932255,0.5652043191222247,0.7122340851528426,0.6471746018089964,0.05959157054962361,0.08064732062463098,0.521177086513039,0.4714934717622947,0.3147964637683749,0.6286503544551977,0.4125785948427627,0.48544788094630764,MCF10A_none,cancer_20210119_slip2_area1_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_149
6,3,0.5790844741073762,0.6444287292779871,0.7755625403426726,0.8518278003037851,0.6437265714728767,0.4118930670457954,0.3951885600037729,0.57313450390051,0.40538821150031323,0.8779869744793725,0.6062747414212344,0.7638054446380592,0.419312431481475,0.06992556562572927,0.37535740636196924,0.5496995418701426,0.3212960641710224,0.399073424298901,0.6286503544551977,0.4125785948427627,0.3898870836206726,MCF10A_none,cancer_20210119_slip2_area1_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_150
7,1,0.8267203126732242,0.7025107179041048,0.49027916546645767,0.631633215593616,0.4159621017141313,0.4125875430570024,0.769510290221367,0.45815852373199406,0.6508109849937184,0.48686356548564036,0.46606584571688003,0.7545032487033112,0.7144033214791304,0.15909169152461333,0.07652220328130332,0.5972823821702341,0.6734072536190135,0.4564603463150889,0.7583418958191748,0.6614548887363021,0.6467211240300985,MCF10A_none,cancer_20210119_slip2_area1_long_acq_corr_long_acq_blue_0.0454_green_0.0671_1_cell_185
8,1,0.32694220620089487,0.2413890911110783,0.6838194690908328,0.4415698141489236,0.3892861558208772,0.4018092851453149,0.8019256327132798,0.627503232937999,0.5041351516590282,0.3627638505181391,0.47277615300141684,0.7067853893973846,0.9916118697336498,0.34356443861688224,0.0588873736793315,0.31638069204453667,0.9217748376514144,0.3147964637683749,0.8041327837207297,0.5006720219209065,0.7392377029954686,MCF10A_none,cancer_20210119_slip2_area3_long_acq_corr_corr_long_acq_blue_0.0454_green_0.0671_1_cell_20
9,1,0.7646872617873091,0.59838192073515,0.5617804691310608,0.4310143276438868,0.3661331150842225,0.38324371636315613,0.9110721336477893,0.5856574368591072,0.8980817965437814,0.36743688678912856,0.45255773247559583,0.4780609996170875,0.9900089087175021,0.09858606457357699,0.10249281048085135,0.31638069204453667,0.9470717930379942,0.3147964637683749,0.0,0.6556081437313488,0.8332662613918774,MCF10A_none,cancer_20210119_slip2_area3_long_acq_corr_corr_long_acq_blue_0.0454_green_0.0671_1_cell_38
